start_date,end_date,covasim_component,intervention_label,intervention_brief_description,intervention_description,category,level,stage,colour_level,colour_stage
2020-03-15,2021-12-31,global beta,all,physical distancing 1.5m,enforce physical distancing to 1.5m,behavioural,public health rules change,0,#9e0142,#9e0142
2020-03-15,2021-12-31,global beta,all,hand sanitising,Increase hand sanitising,behavioural,public health rules change,0,#9e0142,#9e0142
2020-03-15,2021-12-31,global beta,all,PPE,increased personal protective equipment (PPE) ,behavioural,public health rules change,0,#9e0142,#9e0142
2020-03-15,2021-12-31,global beta,all,frequent disinfection and cleaning,frequent disinfection and cleaning,behavioural,public health rules change,0,#9e0142,#9e0142
2020-03-19,2021-12-31,imports,international borders,international borders close,Australia bans all arrivals by non-citizens and non-residents,policy,restriction,0,#f46d43,#000000
2020-03-19,2020-03-22,layer,all,outdoors gath. < 200 ppl,outdoors gatherings restricted to <200 people,policy,restriction,0,#f46d43,#000000
2020-03-29,2020-03-30,layer,house,house visitors <=10 ppl,visitors <=10 people,policy,restriction,0,#f46d43,#000000
2020-03-29,2020-03-30,layer,public parks,outdoors gath. (park) < 10 ppl,Outdoors <=10 people,policy,restriction,0,#f46d43,#000000
2020-03-30,2020-05-16,layer,house,house visitors <=2 ppl,visitors <=2 people,policy,restriction,0,#f46d43,#000000
2020-03-30,2020-05-16,layer,public parks,outdoors gath. (park) <=2  ppl,outdoors <=2 people,policy,restriction,0,#f46d43,#000000
2020-03-30,2020-05-02,layer,all,lockdown,"lockdown travel outside the home banned except for four essential reasons: getting food, medical reasons, work and exercise. ",policy,restriction,0,#f46d43,#000000
2020-03-23,2020-05-16,layer,church,places of worship close,places of worship close,policy,restriction,0,#f46d43,#000000
2020-03-23,2020-05-16,layer,restaurants,restaurants/cafes close,restaurants/cafes close,policy,restriction,0,#f46d43,#000000
2020-03-23,2020-05-16,layer,pubs,pubs close,pubs close,policy,restriction,0,#f46d43,#000000
2020-03-23,2020-06-11,layer,cSports,community sports cancelled (gym),community sports cancelled (gym),policy,restriction,0,#f46d43,#000000
2020-03-23,2020-07-02,layer,entertainment ,places of entertainment close ,places of entertainment close ,policy,restriction,0,#f46d43,#000000
2020-03-23,2020-06-19,layer,large events,large-events cancelled,large-events cancelled,policy,restriction,0,#f46d43,#000000
2020-03-23,2020-07-02,layer,pSports,professional sports cancelled,professional sports cancelled,policy,restriction,0,#f46d43,#000000
2020-03-25,2020-05-01,layer,community,non-covid health services closed,non-covid health services closed,policy,restriction,0,#f46d43,#000000
2020-03-26,2020-05-01,layer,community,retail shops close,retail shops close,policy,restriction,0,#f46d43,#000000
2020-03-30,2020-05-10,layer,school,school activity reduced  ,schools 'student-free' except for children whose parents work in essential services,policy,restriction,0,#f46d43,#000000
2020-04-03,2020-05-01,layer,public parks,national parks close,national parks close,policy,restriction,0,#f46d43,#000000
2020-04-02,2020-12-12,imports,Interstate borders,interstate borders close,Interstate borders restriction in place,policy,restriction,0,#f46d43,#000000
2020-04-06,2020-11-01,testing,testing,increased testing in hotspots,Testing anyone with respiratory symptoms in hotspots,intervention,counteract,0,#3288bd,#000000
2020-04-07,2020-04-22,layer,community,beaches close,beaches close,policy,restriction,0,#f46d43,#000000
2020-04-19,2020-05-11,layer,school,schools activity increased,schools open for term two for vulnerable students and the children of essential workers only ,policy,restriction,0,#f46d43,#000000
2020-05-02,2020-05-15,layer,public parks,travel up to 50 km / family picnics allowed,up to 50 kilometres from home and family picnics allowed,policy,relaxation,1,#abdda4,#d73027
2020-05-02,2022-12-31,layer,community,non-essential shopping allowed,non-essential shopping allowed,policy,relaxation,1,#abdda4,#d73027
2020-05-15,2020-07-09,layer,public parks,travel up to 150 km / family picnics allowed,up to 150 kilometres from home and family picnics allowed,policy,relaxation,1,#abdda4,#d73027
2020-05-10,2020-07-02,layer,home,house visitors <=5 ppl,up to 5 people from another household can visit,policy,relaxation,1,#abdda4,#d73027
2020-05-11,2020-05-25,layer,school,school partial resumption,"partial resumption (kindergarten, prep and years 1, 11 and 12)",policy,relaxation,1,#abdda4,#d73027
2020-05-25,2022-12-31,layer,school,school full resumption,full resumption,policy,relaxation,1,#abdda4,#d73027
2020-05-15,2020-07-02,layer,public parks,outdoors gath. (park) <=10  ppl,Outdoors <=10 people,policy,relaxation,1,#abdda4,#d73027
2020-05-16,2020-07-02,layer,restaurants,restaurants/cafes reopen <=10 ppl,reopen with up to 10 patrons,policy,relaxation,1,#abdda4,#d73027
